zone_code,event_count,mean_predicted_score,max_predicted_score,min_predicted_score,high_risk_event_count,medium_risk_event_count,low_risk_event_count,high_risk_event_ratio,mean_absolute_error,mean_rain_24h_mm,max_rain_24h_mm,mean_gpm_precipitation_sum,mean_built_surface_mean,mean_population_sum,dominant_risk_class
NSR-GRID-001,30,0.5776522650795772,0.9166032191418216,0.4569336060573346,6,24,0,0.2,0.004571248575566314,10.506666666666668,44.9,0.0,4113.756665050896,0.0,medium
NSR-GRID-002,30,0.5437014496502787,0.8838016577990595,0.4220446893437574,5,25,0,0.16666666666666666,0.004134819602801109,10.506666666666668,44.9,0.0,3967.2195121951213,0.0,medium
NSR-GRID-003,30,0.6034559217528298,0.942636346287689,0.4816318106209241,7,23,0,0.23333333333333334,0.0051128553731310785,10.506666666666668,44.9,0.0,4228.88527131783,0.0,medium
NSR-GRID-004,30,0.5455145878797971,0.8758439272881967,0.4289928696717203,5,25,0,0.16666666666666666,0.008558906017647245,10.506666666666668,44.9,0.0,3238.604815864022,0.0,medium
NSR-GRID-005,30,0.6314211969115587,0.9642079228969402,0.5132468164711107,7,23,0,0.23333333333333334,0.007063644501396851,10.506666666666668,44.9,0.0,4321.0,0.0,medium
NSR-GRID-006,30,0.6494778738089177,0.976202633564673,0.5342518266221459,7,23,0,0.23333333333333334,0.010509520145420137,10.506666666666668,44.9,0.0,4724.818817546092,0.0,medium
NSR-GRID-007,30,0.6109268574576208,0.946694066778868,0.4916041667851985,7,23,0,0.23333333333333334,0.006017167850549721,10.506666666666668,44.9,0.0,4016.369224247563,0.0,medium
NSR-GRID-008,30,0.5561389633869763,0.8961621952357844,0.4349363122384982,5,25,0,0.16666666666666666,0.004533286090144747,10.506666666666668,44.9,0.0,4123.742263671045,0.0,medium
NSR-GRID-009,30,0.5346705629887486,0.8669451038312599,0.4163557688253556,5,25,0,0.16666666666666666,0.0068687511059969866,10.506666666666668,44.9,0.0,4480.859050445103,0.0,medium
NSR-GRID-010,30,0.5858100432593674,0.9240792274857864,0.4649939349760957,7,23,0,0.23333333333333334,0.004675823155900005,10.506666666666668,44.9,0.0,3743.505987104697,0.0,medium
NSR-GRID-011,30,0.5196360541723646,0.8615462022403689,0.3974779131061892,5,25,0,0.16666666666666666,0.003780412590867594,10.506666666666668,44.9,0.0,3686.9107358262972,0.0,medium
NSR-GRID-012,30,0.5614789020734048,0.9017703966638384,0.4405055785636262,6,24,0,0.2,0.00414356166593869,10.506666666666668,44.9,0.0,3582.3094688221713,0.0,medium
NSR-GRID-013,30,0.5589955706060596,0.9032107736758196,0.4359556297478888,6,24,0,0.2,0.004219999120490216,10.506666666666668,44.9,0.0,3567.604433077578,0.0,medium
NSR-GRID-014,30,0.3832924718268143,0.7257924766040543,0.2607821793654198,3,14,13,0.1,0.004037769167945492,10.506666666666668,44.9,0.0,1788.5822784810132,0.0,medium
NSR-GRID-015,30,0.3705074019332109,0.7110553381572201,0.2512302839709836,2,12,16,0.06666666666666667,0.005254730922880713,10.506666666666668,44.9,0.0,1105.1292705447836,0.0,medium
NSR-GRID-016,30,0.431916978091449,0.7706013506800321,0.3112443837417213,4,16,10,0.13333333333333333,0.004192934381343483,10.506666666666668,44.9,0.0,1905.165384615385,0.0,medium
